sensor_type	dt	px	py	vx	vy	estimate_x	estimate_y	estimate_vx	estimate_vy	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS_lidar	NIS_radar
R	1477010444650000	9.1101	1.15208	5.03798	0.974245	9.14701	1.00123	5.17346	0.544885	0.0715559	0.080903	0.133817	0.212384	1.07131	6.48068
L	1477010444700000	9.36172	1.20223	5.0228	1.03082	9.38547	1.03483	5.14902	0.572655	0.0706404	0.0846106	0.133606	0.223195	0.875826	6.48068
R	1477010444750000	9.61255	1.25524	5.00656	1.08873	9.66221	1.0921	5.17352	0.639689	0.0701425	0.0877461	0.134644	0.23245	0.875826	4.61286
L	1477010444800000	9.86254	1.31118	4.98922	1.14794	9.93445	1.19709	5.17651	0.785655	0.0701908	0.0885612	0.136334	0.236896	4.20211	4.61286
R	1477010444850000	10.1117	1.37011	4.97074	1.20841	10.1887	1.26425	5.13549	0.854992	0.0703786	0.0890595	0.137157	0.240686	4.20211	5.52061
L	1477010444900000	10.3598	1.4321	4.95106	1.2701	10.4174	1.34527	5.09349	0.946912	0.0700807	0.089003	0.137295	0.243152	2.2307	5.52061
R	1477010444950000	10.6069	1.49721	4.93014	1.33298	10.6574	1.40978	5.02916	1.00045	0.0696583	0.088964	0.136469	0.245783	2.2307	5.2567
L	1477010445000000	10.853	1.56549	4.90794	1.39701	10.8851	1.46096	4.99671	1.03238	0.0689857	0.0893757	0.135506	0.249356	1.21519	5.2567
R	1477010445050000	11.0979	1.637	4.8844	1.46213	11.1486	1.50834	5.00976	1.05581	0.0686072	0.0905092	0.135273	0.254223	1.21519	1.31498
L	1477010445100000	11.3416	1.71179	4.85948	1.52832	11.4232	1.57182	5.02822	1.10357	0.0689363	0.0919623	0.136145	0.259464	1.47001	1.31498
R	1477010445150000	11.584	1.78992	4.83313	1.59551	11.6583	1.62371	4.98765	1.12662	0.069062	0.0943015	0.13659	0.266061	1.47001	1.11707
L	1477010445200000	11.8251	1.87144	4.80531	1.66366	11.8891	1.69858	4.9566	1.1884	0.0689538	0.0967429	0.136934	0.272461	0.767639	1.11707
R	1477010445250000	12.0647	1.95639	4.77598	1.73273	12.1437	1.77658	4.96617	1.25281	0.0691858	0.0992905	0.13831	0.278618	0.767639	1.50528
L	1477010445300000	12.3029	2.04482	4.74508	1.80265	12.3833	1.82743	4.95091	1.26559	0.0694444	0.10322	0.140086	0.286554	0.29662	1.50528
R	1477010445350000	12.5394	2.13677	4.71257	1.87338	12.6365	1.8867	4.96568	1.29212	0.0701306	0.108329	0.143352	0.295705	0.29662	0.758842
